current_time, N_vessels, N_cells, N_cells_pheno_0, N_cells_pheno_1, N_cells_pheno_1_Ap, N_cells_pheno_1_G1, N_cells_pheno_1_Sy, N_cells_pheno_1_G2, N_cells_pheno_1_Di, N_cells_pheno_1_Tr, N_cell_protrusions
0,0,1000,0,1000,185,428,133,254,0,0,0
3,0,1018,0,1018,532,77,40,369,0,0,0
5,0,773,0,773,446,90,74,163,0,0,0
7,0,476,0,476,319,68,28,61,0,0,0
11,0,415,0,415,278,91,18,28,0,0,0
