current_time, N_vessels, N_cells, N_cells_pheno_0, N_cells_pheno_1, N_cells_pheno_1_Ap, N_cells_pheno_1_G1, N_cells_pheno_1_Sy, N_cells_pheno_1_G2, N_cells_pheno_1_Di, N_cells_pheno_1_Tr, N_cell_protrusions
0,0,1000,0,1000,189,435,137,239,0,0,0
3,0,1018,0,1018,178,155,89,596,0,0,0
5,0,773,0,773,438,107,71,157,0,0,0
7,0,476,0,476,318,71,27,60,0,0,0
11,0,415,0,415,263,99,19,34,0,0,0
