current_time, N_vessels, N_cells, N_cells_pheno_0, N_cells_pheno_1, N_cells_pheno_1_Ap, N_cells_pheno_1_G1, N_cells_pheno_1_Sy, N_cells_pheno_1_G2, N_cells_pheno_1_Di, N_cells_pheno_1_Tr, N_cell_protrusions
0,0,1000,0,1000,185,428,133,254,0,0,0
3,0,995,0,995,521,75,39,360,0,0,0
5,0,908,0,908,524,105,87,192,0,0,0
7,0,525,0,525,351,75,31,68,0,0,0
11,0,162,0,162,109,35,7,11,0,0,0
