current_time, N_vessels, N_cells, N_cells_pheno_0, N_cells_pheno_1, N_cells_pheno_1_Ap, N_cells_pheno_1_G1, N_cells_pheno_1_Sy, N_cells_pheno_1_G2, N_cells_pheno_1_Di, N_cells_pheno_1_Tr, N_cell_protrusions
0,0,1000,0,1000,185,428,133,254,0,0,0
3,0,1009,0,1009,528,76,39,366,0,0,0
5,0,852,0,852,491,99,82,180,0,0,0
7,0,520,0,520,348,74,31,67,0,0,0
11,0,354,0,354,238,77,15,24,0,0,0
