current_time, N_vessels, N_cells, N_cells_pheno_0, N_cells_pheno_1, N_cells_pheno_1_Ap, N_cells_pheno_1_G1, N_cells_pheno_1_Sy, N_cells_pheno_1_G2, N_cells_pheno_1_Di, N_cells_pheno_1_Tr, N_cell_protrusions
0,0,1000,0,1000,114,508,114,264,0,0,0
3,0,1083,0,1083,86,532,177,288,0,0,0
5,0,803,0,803,229,307,65,202,0,0,0
7,0,839,0,839,216,376,76,171,0,0,0
11,0,883,0,883,790,58,13,22,0,0,0
