current_time, N_vessels, N_cells, N_cells_pheno_0, N_cells_pheno_1, N_cells_pheno_1_Ap, N_cells_pheno_1_G1, N_cells_pheno_1_Sy, N_cells_pheno_1_G2, N_cells_pheno_1_Di, N_cells_pheno_1_Tr, N_cell_protrusions
0,0,1000,0,1000,115,496,110,279,0,0,0
3,0,1201,0,1201,188,538,183,292,0,0,0
5,0,816,0,816,263,301,64,188,0,0,0
7,0,857,0,857,254,373,70,160,0,0,0
11,0,1029,0,1029,863,113,19,34,0,0,0
