current_time, N_vessels, N_cells, N_cells_pheno_0, N_cells_pheno_1, N_cells_pheno_1_Ap, N_cells_pheno_1_G1, N_cells_pheno_1_Sy, N_cells_pheno_1_G2, N_cells_pheno_1_Di, N_cells_pheno_1_Tr, N_cell_protrusions
0,0,1000,0,1000,162,541,129,168,0,0,0
3,0,1136,0,1136,415,508,123,90,0,0,0
5,0,988,0,988,129,564,123,172,0,0,0
7,0,1148,0,1148,84,818,109,137,0,0,0
11,0,944,0,944,409,417,42,76,0,0,0
