current_time, N_vessels, N_cells, N_cells_pheno_0, N_cells_pheno_1, N_cells_pheno_1_Ap, N_cells_pheno_1_G1, N_cells_pheno_1_Sy, N_cells_pheno_1_G2, N_cells_pheno_1_Di, N_cells_pheno_1_Tr, N_cell_protrusions
0,0,1000,0,1000,142,544,117,197,0,0,0
3,0,1136,0,1136,221,636,130,149,0,0,0
5,0,988,0,988,168,491,105,224,0,0,0
7,0,1148,0,1148,246,715,61,126,0,0,0
11,0,944,0,944,698,150,25,71,0,0,0
