current_time, N_vessels, N_cells, N_cells_pheno_0, N_cells_pheno_1, N_cells_pheno_1_Ap, N_cells_pheno_1_G1, N_cells_pheno_1_Sy, N_cells_pheno_1_G2, N_cells_pheno_1_Di, N_cells_pheno_1_Tr, N_cell_protrusions
0,0,1000,0,1000,142,544,117,197,0,0,0
3,0,1022,0,1022,199,572,117,134,0,0,0
5,0,936,0,936,159,465,99,213,0,0,0
7,0,946,0,946,203,589,50,104,0,0,0
11,0,814,0,814,601,130,22,61,0,0,0
