current_time, N_vessels, N_cells, N_cells_pheno_0, N_cells_pheno_1, N_cells_pheno_1_Ap, N_cells_pheno_1_G1, N_cells_pheno_1_Sy, N_cells_pheno_1_G2, N_cells_pheno_1_Di, N_cells_pheno_1_Tr, N_cell_protrusions
0,0,1000,0,1000,162,541,129,168,0,0,0
3,0,1022,0,1022,374,457,110,81,0,0,0
5,0,936,0,936,122,535,116,163,0,0,0
7,0,946,0,946,69,674,90,113,0,0,0
11,0,814,0,814,353,360,36,65,0,0,0
