current_time, N_vessels, N_cells, N_cells_pheno_0, N_cells_pheno_1, N_cells_pheno_1_Ap, N_cells_pheno_1_G1, N_cells_pheno_1_Sy, N_cells_pheno_1_G2, N_cells_pheno_1_Di, N_cells_pheno_1_Tr, N_cell_protrusions
0,0,1000,0,1000,73,576,123,228,0,0,0
3,0,967,0,967,170,562,105,130,0,0,0
5,0,862,0,862,169,453,85,155,0,0,0
7,0,924,0,924,216,567,55,86,0,0,0
11,0,875,0,875,640,145,22,68,0,0,0
