current_time, N_vessels, N_cells, N_cells_pheno_0, N_cells_pheno_1, N_cells_pheno_1_Ap, N_cells_pheno_1_G1, N_cells_pheno_1_Sy, N_cells_pheno_1_G2, N_cells_pheno_1_Di, N_cells_pheno_1_Tr, N_cell_protrusions
0,0,1000,0,1000,142,544,117,197,0,0,0
3,0,967,0,967,188,542,110,127,0,0,0
5,0,862,0,862,146,429,91,196,0,0,0
7,0,924,0,924,198,575,49,102,0,0,0
11,0,875,0,875,646,139,24,66,0,0,0
