current_time, N_vessels, N_cells, N_cells_pheno_0, N_cells_pheno_1, N_cells_pheno_1_Ap, N_cells_pheno_1_G1, N_cells_pheno_1_Sy, N_cells_pheno_1_G2, N_cells_pheno_1_Di, N_cells_pheno_1_Tr, N_cell_protrusions
0,0,1000,0,1000,162,541,129,168,0,0,0
3,0,967,0,967,355,432,104,76,0,0,0
5,0,862,0,862,112,493,107,150,0,0,0
7,0,924,0,924,68,658,88,110,0,0,0
11,0,875,0,875,379,387,39,70,0,0,0
